bundle,feature_name,source_fields,event_formula,window,aggregation,companion,pit_rule,missing_rule,incremental_information
F1,horse_recent3_race_relative_time_advantage_median,valid_race_time_seconds,race_median_valid_time-runner_valid_time,recent 3 valid relative events,median,horse_recent3_race_relative_time_count,historical_race_date < feature_as_of; historical race only,exclude non-finish invalid time and cohorts under 3; NULL if no event,within-race time margin removes distance meet and shared race pace level
F1,horse_recent3_race_time_percentile_median,valid_race_time_seconds,fastest-oriented average-tie percentile,recent 3 valid relative events,median,horse_recent3_race_relative_time_count,historical_race_date < feature_as_of; historical race only,same shared eligibility and NULL rule,unitless relative order adjusts for field size
F1,horse_recent3_race_relative_time_count,valid_race_time_seconds,count eligible relative events,recent 3 valid relative events,count,self,historical_race_date < feature_as_of,0 if no event,distinguishes missing relative summaries from observed history
F1,horse_recent5_race_relative_time_advantage_median,valid_race_time_seconds,race_median_valid_time-runner_valid_time,recent 5 valid relative events,median,horse_recent5_race_relative_time_count,historical_race_date < feature_as_of; historical race only,exclude non-finish invalid time and cohorts under 3; NULL if no event,more stable within-race time margin than recent3
F1,horse_recent5_race_time_percentile_median,valid_race_time_seconds,fastest-oriented average-tie percentile,recent 5 valid relative events,median,horse_recent5_race_relative_time_count,historical_race_date < feature_as_of; historical race only,same shared eligibility and NULL rule,more stable unitless relative order than recent3
F1,horse_recent5_race_relative_time_count,valid_race_time_seconds,count eligible relative events,recent 5 valid relative events,count,self,historical_race_date < feature_as_of,0 if no event,distinguishes missing relative summaries from observed history
F2,horse_recent3_late_kick_advantage_median,historical_g3f_seconds; historical_g1f_seconds,(g3f-3*g1f)/2,recent 3 jointly valid events,median,horse_recent3_late_kick_advantage_count,historical_race_date < feature_as_of,NULL if either sectional missing; exclude invalid result,positive means final 200m faster than preceding 400m average
F2,horse_recent3_late_kick_advantage_count,historical_g3f_seconds; historical_g1f_seconds,count jointly valid events,recent 3 jointly valid events,count,self,historical_race_date < feature_as_of,0 if no joint event,records co-observed pace-shape depth
F2,horse_recent5_late_kick_advantage_median,historical_g3f_seconds; historical_g1f_seconds,(g3f-3*g1f)/2,recent 5 jointly valid events,median,horse_recent5_late_kick_advantage_count,historical_race_date < feature_as_of,NULL if either sectional missing; exclude invalid result,stable final-kick shape based on same-event sectionals
F2,horse_recent5_late_kick_advantage_count,historical_g3f_seconds; historical_g1f_seconds,count jointly valid events,recent 5 jointly valid events,count,self,historical_race_date < feature_as_of,0 if no joint event,records co-observed pace-shape depth
F2,horse_recent3_finish_vs_start_advantage_median,s1f_seconds; historical_g1f_seconds,s1f-g1f,recent 3 jointly valid events,median,horse_recent3_finish_vs_start_advantage_count,historical_race_date < feature_as_of,NULL if either sectional missing; exclude invalid result,positive means final 200m faster than opening 200m
F2,horse_recent3_finish_vs_start_advantage_count,s1f_seconds; historical_g1f_seconds,count jointly valid events,recent 3 jointly valid events,count,self,historical_race_date < feature_as_of,0 if no joint event,records co-observed whole-race shape depth
F2,horse_recent5_finish_vs_start_advantage_median,s1f_seconds; historical_g1f_seconds,s1f-g1f,recent 5 jointly valid events,median,horse_recent5_finish_vs_start_advantage_count,historical_race_date < feature_as_of,NULL if either sectional missing; exclude invalid result,stable opening-to-finish shape based on same-event sectionals
