position,feature_name,feature_family,category,required_raw_fields,source_candidate,entity_key,prediction_time_availability,pit_requirement,current_implementation_status,blocker_or_uncertainty,notes
1,meet_code,current_race_context,A,"meet, rcDate, rcNo",KRA API26_2 entry sheet/detail,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
2,race_grade,current_race_context,A,rank,KRA API26_2 entry sheet/detail,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
3,distance_m,current_race_context,A,rcDist,KRA API26_2 entry sheet/detail,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
4,registered_runner_count,current_race_context,A,rcCnt or final active runner list count,KRA API26_2 entry sheet/detail,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,must reflect active betting field
5,gate_no,current_runner_profile,A,chulNo,KRA API26_2 entry sheet/detail,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
6,horse_sex,current_runner_profile,A,sex,KRA API26_2 entry sheet/detail,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
7,horse_age,current_runner_profile,A,age,KRA API26_2 entry sheet/detail,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
8,carried_weight,current_runner_profile,A,wgBudam,KRA API26_2 entry sheet/detail,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
9,rating,current_runner_profile,A,rating,KRA API26_2 entry sheet/detail,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
10,race_age_condition,current_race_context,A,ageCond,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
11,race_weight_condition,current_race_context,A,budam,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
12,race_prize_condition,current_race_prize,A,prizeCond,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
13,race_sex_condition,current_race_context,A,sexCond,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
14,race_type,current_race_context,A,rcType,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
15,race_day_of_week,current_race_context,A,rcDate,KRA API26_2 entry sheet/detail,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
16,race_first_prize,current_race_prize,A,chaksun1,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
17,race_second_prize,current_race_prize,A,chaksun2,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
18,race_third_prize,current_race_prize,A,chaksun3,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
19,race_fourth_prize,current_race_prize,A,chaksun4,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
20,race_fifth_prize,current_race_prize,A,chaksun5,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
21,race_bonus_1,current_race_prize,A,buga1,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
22,race_bonus_2,current_race_prize,A,buga2,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
23,race_bonus_3,current_race_prize,A,buga3,KRA API26_2 entry sheet; API72_2 race plan cross-check,race_date+meet_code+race_no; horse_id when runner-level,after entry sheet publication,observed_at <= prediction_cutoff,historical reconstruction only; live collector absent,observed_at lineage absent,"API4 is post-race, not serving source"
24,horse_prior_start_count,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
25,horse_prior_finish_rate,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
26,horse_prior_plc_hit_rate,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
27,horse_prior_avg_finish_rank,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
28,horse_days_since_last_start,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
29,horse_recent5_start_count,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
30,horse_recent5_plc_hit_rate,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
31,horse_recent5_avg_finish_rank,historical_horse_recent,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
32,horse_same_distance_start_count,historical_horse_aptitude,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
33,horse_same_distance_plc_hit_rate,historical_horse_aptitude,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
34,jockey_prior_start_count,historical_jockey,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
35,jockey_prior_plc_hit_rate,historical_jockey,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,jockey_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
36,trainer_prior_start_count,historical_trainer,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,trainer_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
37,trainer_prior_plc_hit_rate,historical_trainer,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,trainer_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
38,horse_prior_win_rate,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
39,horse_prior_top3_rate,historical_horse_long_term,B,"historical race/date, entity ID, status, finish and official PLC as applicable",canonical/semantic PIT history,horse_id,after IDs/full field; frozen historical DB,historical.race_date < feature_as_of,historical computation; serving job absent,cold start vs failed join not explicit,PIT-only history
