raw_field,official_name,official_size,official_required,official_sample,official_description,actual_examples,staging_dtype,semantic_dtype,nonblank_rows,null_or_blank_rate,distinct_count,numeric_zero_rows,staging_preserved,canonical_preservation,current_transform,information_loss,field_category,prediction_time_direct_use,historical_feature_source,post_race_information,review_status
age,연령,3,1,3,연령,3 | 4 | 5,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,11,0,YES,canonical.runner_result.horse_age,Mapped to canonical.runner_result.horse_age,NO_OR_INTENTIONAL_CAST,IDENTIFIER_OR_CURRENT_PRERACE,AVAILABLE,YES,NO,APPROVED
ageCond,연령조건,20,1,3세,연령조건,연령오픈 | 2세 | 3세이상,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,8,0,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RACE_CONDITION,AVAILABLE_BY_MEANING,YES,NO,APPROVED
buG1fAccTime,부경G1F통과누적기록,"5,1",1,0,부경G1F통과누적기록,0 | 62 | 62.2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,620,28906,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buG1fOrd,부경G1F통과순위,2,1,0,부경G1F통과순위,0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,28864,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buG2fAccTime,부경G2F통과누적기록,"5,1",1,0,부경G2F통과누적기록,0 | 49.8 | 49.6,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,545,28898,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buG2fOrd,부경G2F통과순위,2,1,0,부경G2F통과순위,0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,28864,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buG3fAccTime,부경G3F통과누적기록,"5,1",1,0,부경G3F통과누적기록,0 | 37.3 | 37,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,492,28890,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buG3fOrd,부경G3F통과순위,2,1,0,부경G3F통과순위,0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,28864,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buG4fAccTime,부경G4F통과누적기록,"5,1",1,0,부경G4F통과누적기록,0 | 25 | 25.2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,409,29216,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buG4fOrd,부경G4F통과순위,2,1,0,부경G4F통과순위,0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,29196,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buG6fAccTime,부경G6F통과누적기록,"5,1",1,0,부경G6F통과누적기록,0 | 8.5 | 8.6,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,210,39425,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
buG6fOrd,부경G6F통과순위,2,1,0,부경G6F통과순위,0 | 1 | 2,VARCHAR,VARCHAR (semantic cast only when defined),49386,0.0,18,42256,YES,NO DEDICATED COLUMN,Raw value remains recoverable from Staging/source_item_json,NOT_CARRIED_FORWARD,CURRENT_RESULT_OR_POST_RACE,POST_RACE_ONLY,YES,YES,PROHIBITED_CURRENT; historical source allowed
