feature_name,category,source_fields,calculation_definition,historical_window_or_condition,pit_rule,prediction_time_availability,missing_or_structural_missing,minimum_history_and_companion_count,leakage_risk,expected_redundancy,status,recommendation_group
meet_code,CURRENT_PRERACE,meet,Current-race declared value,CURRENT,current-race pre-off only,validated historical race-level value,NULL means source missing,none,LOW,may correlate with other race conditions,APPROVED,IMMEDIATE_BASELINE
race_grade,CURRENT_PRERACE,rank,Current-race declared value,CURRENT,current-race pre-off only,validated historical race-level value,NULL means source missing,none,LOW,may correlate with other race conditions,APPROVED,IMMEDIATE_BASELINE
distance_m,CURRENT_PRERACE,rcDist,Current-race declared value,CURRENT,current-race pre-off only,validated historical race-level value,NULL means source missing,none,LOW,may correlate with other race conditions,APPROVED,IMMEDIATE_BASELINE
registered_runner_count,CURRENT_PRERACE,API4 race rows,Current-race declared value,CURRENT,current-race pre-off only,validated historical race-level value,NULL means source missing,none,LOW,may correlate with other race conditions,APPROVED,IMMEDIATE_BASELINE
gate_no,CURRENT_PRERACE,chulNo,Current-race declared value,CURRENT,current-race pre-off only,validated historical race-level value,NULL means source missing,none,LOW,may correlate with other race conditions,APPROVED,IMMEDIATE_BASELINE
horse_sex,CURRENT_PRERACE,sex,Current-race declared value,CURRENT,current-race pre-off only,validated historical race-level value,NULL means source missing,none,LOW,may correlate with other race conditions,APPROVED,IMMEDIATE_BASELINE
horse_age,CURRENT_PRERACE,age,Current-race declared value,CURRENT,current-race pre-off only,validated historical race-level value,NULL means source missing,none,LOW,may correlate with other race conditions,APPROVED,IMMEDIATE_BASELINE
carried_weight,CURRENT_PRERACE,wgBudam,Current-race declared value,CURRENT,current-race pre-off only,validated historical race-level value,NULL means source missing,none,LOW,may correlate with other race conditions,APPROVED,IMMEDIATE_BASELINE
rating,CURRENT_PRERACE,rating,Current-race declared value,CURRENT,current-race pre-off only,validated historical race-level value,NULL means source missing,none,LOW,may correlate with other race conditions,APPROVED,IMMEDIATE_BASELINE
race_age_condition,CURRENT_RACE_CONDITION,ageCond,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_weight_condition,CURRENT_RACE_CONDITION,budam,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_prize_condition,CURRENT_RACE_CONDITION,prizeCond,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_sex_condition,CURRENT_RACE_CONDITION,sexCond,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
race_type,CURRENT_RACE_CONDITION,rcName,Declared race condition/value,CURRENT,current-race pre-off only,fixed before race; production publication timing needs an operational check,NULL/unknown category retained,none,LOW,may overlap grade/distance/prize class,APPROVED,IMMEDIATE_BASELINE
